"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"d:\shoecloud\lib\features\shoes\presentation\widgets\nfc_bind_button.dart", "Dart", 122, 0, 1, 7, 130
"d:\shoecloud\lib\features\shoes\presentation\widgets\shoe_detail_header.dart", "Dart", 82, 0, 1, 4, 87
"d:\shoecloud\lib\features\shoes\presentation\widgets\shoe_detail_list.dart", "Dart", 129, 0, 1, 10, 140
"d:\shoecloud\lib\features\shoes\presentation\widgets\shoe_stats_card.dart", "Dart", 69, 0, 1, 7, 77
"d:\shoecloud\lib\features\shoes\presentation\widgets\sync_action_card.dart", "Dart", 66, 0, 1, 4, 71
"d:\shoecloud\lib\features\social\presentation\pages\social_page.dart", "Dart", 42, 0, 1, 3, 46
"d:\shoecloud\lib\features\social\presentation\widgets\social_card.dart", "Dart", 66, 0, 1, 4, 71
"d:\shoecloud\lib\features\user\data\user_repository.dart", "Dart", 24, 0, 1, 5, 30
"d:\shoecloud\lib\features\user\models\user_profile.dart", "Dart", 208, 0, 1, 28, 237
"d:\shoecloud\lib\main.dart", "Dart", 8, 0, 1, 2, 11
"d:\shoecloud\lib\shared\utils\time_formatter.dart", "Dart", 39, 0, 1, 7, 47
"d:\shoecloud\lib\shared\widgets\app_card.dart", "Dart", 32, 0, 1, 4, 37
"d:\shoecloud\lib\shared\widgets\app_empty_state.dart", "Dart", 59, 0, 1, 4, 64
"d:\shoecloud\lib\shared\widgets\app_feedback.dart", "Dart", 25, 0, 1, 5, 31
"d:\shoecloud\lib\shared\widgets\app_primary_button.dart", "Dart", 28, 0, 1, 4, 33
"d:\shoecloud\lib\shared\widgets\app_shell.dart", "Dart", 24, 0, 1, 4, 29
"Total", "-", 4321, 259, 59, 486, 5125
